2026-04-19 18:29:52,624 | INFO | Processing video: input.mp4
2026-04-19 18:31:22,644 | INFO | Saved output: output.mp4
2026-04-19 19:03:30,641 | INFO | Starting camera mode
2026-04-19 19:03:30,813 | INFO | Model loaded
2026-04-19 19:46:51,989 | INFO | Starting camera mode
2026-04-19 19:46:52,170 | INFO | Model loaded
2026-04-19 19:50:10,986 | INFO | Starting training
2026-04-19 19:54:46,987 | INFO | Starting training
2026-04-19 19:57:20,276 | INFO | Starting training
2026-04-19 19:59:26,741 | INFO | Starting training
2026-04-19 20:00:14,053 | INFO | Starting training
